State,Under 5 Years,5 to 13 Years,e
AL,310504,552339,259034
AK,52083,85640,42153
AZ,515910,828669,362642
AR,202070,343207,157204
CA,2704659,4499890,2159981
CO,358280,587154,261701
CT,211637,403658,196918
DE,59319,99496,47414
DC,36352,50439,25225
FL,1140516,1938695,925060
GA,740521,1250460,557860
HI,87207,134025,64011
ID,121746,201192,89702
IL,894368,1558919,725973
IN,443089,780199,361393
IA,201321,345409,165883
KS,202529,342134,155822
KY,284601,493536,229927
LA,310716,542341,254916
ME,71459,133656,69752
MD,371787,651923,316873
MA,383568,701752,341713
MI,625526,1179503,585169
MN,358471,606802,289371
MS,220813,371502,174405
MO,399450,690476,331543
MT,61114,106088,53156
NE,132092,215265,99638
NV,199175,325650,142976
NH,75297,144235,73826
NJ,557421,1011656,478505
NM,148323,241326,112801
NY,1208495,2141490,1058031
NC,652823,1097890,492964
ND,41896,67358,33794
OH,743750,1340492,646135
OK,266547,438926,200562
OR,243483,424167,199925
PA,737462,1345341,679201
RI,60934,111408,56198
SC,303024,517803,245400
SD,58566,94438,45305
TN,416334,725948,336312
TX,2027307,3277946,1420518
UT,268916,413034,167685
VT,32635,62538,33757
VA,522672,887525,413004
WA,433119,750274,357782
WV,105435,189649,91074
WI,362277,640286,311849
WY,38253,60890,29314